X;Activation1(X);Activation2(X)
6.812500e+00;1.454590e+00;3.407715e+00
6.875000e+00;1.470215e+00;3.438965e+00
6.937500e+00;1.485840e+00;3.470215e+00
7.000000e+00;1.126709e+00;3.501709e+00
7.062500e+00;1.140625e+00;3.531250e+00
7.125000e+00;1.156250e+00;3.562500e+00
7.187500e+00;1.171875e+00;3.593750e+00
7.250000e+00;1.187500e+00;3.625000e+00
7.312500e+00;1.203125e+00;3.656250e+00
7.375000e+00;1.218750e+00;3.687500e+00
7.437500e+00;1.234375e+00;3.718750e+00
7.500000e+00;1.062500e+00;3.750000e+00
7.562500e+00;1.078125e+00;3.781250e+00
7.625000e+00;1.093750e+00;3.812500e+00
7.687500e+00;1.109375e+00;3.843750e+00
7.750000e+00;1.031250e+00;3.875000e+00
7.812500e+00;1.046875e+00;3.906250e+00
7.875000e+00;1.015625e+00;3.937500e+00
7.937500e+00;1.007813e+00;3.968750e+00
